DateTime,SP500PERatio
1871-01-01 00:00:58,11.1
1871-02-01 00:00:58,11.25
1871-03-01 00:00:58,11.52
1871-04-01 00:00:58,11.85
1871-05-01 00:00:58,12.15
1871-06-01 00:00:58,12.05
1871-07-01 00:00:58,11.82
1871-08-01 00:00:58,11.98
1871-09-01 00:00:58,12.1
1871-10-01 00:00:58,11.48
1871-11-01 00:00:58,11.6
1871-12-01 00:00:58,11.85
1872-01-01 00:00:58,12.07
1872-02-01 00:00:58,12.05
1872-03-01 00:00:58,12.37
1872-04-01 00:00:58,12.63
1872-05-01 00:00:58,12.56
1872-06-01 00:00:58,12.36
1872-07-01 00:00:58,12.22
1872-08-01 00:00:58,12
1872-09-01 00:00:58,11.72
1872-10-01 00:00:58,11.69
1872-11-01 00:00:58,11.58
1872-12-01 00:00:58,11.79
1873-01-01 00:00:58,11.82
1873-02-01 00:00:58,11.84
1873-03-01 00:00:58,11.68
1873-04-01 00:00:58,11.45
1873-05-01 00:00:58,11.41
1873-06-01 00:00:58,11.19
1873-07-01 00:00:58,11.11
1873-08-01 00:00:58,11.04
1873-09-01 00:00:58,10.14
1873-10-01 00:00:58,9.21
1873-11-01 00:00:58,8.83
1873-12-01 00:00:58,9.61
1874-01-01 00:00:58,10.13
1874-02-01 00:00:58,10.43
1874-03-01 00:00:58,10.28
1874-04-01 00:00:58,10
1874-05-01 00:00:58,9.74
1874-06-01 00:00:58,9.7
1874-07-01 00:00:58,9.7
1874-08-01 00:00:58,9.72
1874-09-01 00:00:58,9.87
1874-10-01 00:00:58,9.85
1874-11-01 00:00:58,9.93
1874-12-01 00:00:58,9.87
1875-01-01 00:00:58,10.05
1875-02-01 00:00:58,10.22
1875-03-01 00:00:58,10.55
1875-04-01 00:00:58,10.9
1875-05-01 00:00:58,10.69
1875-06-01 00:00:58,10.68
1875-07-01 00:00:58,10.93
1875-08-01 00:00:58,11.21
1875-09-01 00:00:58,11.35
1875-10-01 00:00:58,11.41
1875-11-01 00:00:58,11.87
1875-12-01 00:00:58,12.14
1876-01-01 00:00:58,12.62
1876-02-01 00:00:58,13.04
1876-03-01 00:00:58,13.26
1876-04-01 00:00:58,13.02
1876-05-01 00:00:58,12.79
1876-06-01 00:00:58,12.97
1876-07-01 00:00:58,13.09
1876-08-01 00:00:58,12.81
1876-09-01 00:00:58,12.3
1876-10-01 00:00:58,12.51
1876-11-01 00:00:58,12.56
1876-12-01 00:00:58,12.79
1877-01-01 00:00:58,12.6
1877-02-01 00:00:58,11.79
1877-03-01 00:00:58,11.12
1877-04-01 00:00:58,10.25
1877-05-01 00:00:58,10.2
1877-06-01 00:00:58,9.41
1877-07-01 00:00:58,9.77
1877-08-01 00:00:58,10.4
1877-09-01 00:00:58,10.98
